,close,high,open,low
20231108,31303.01890372563,31891.385548768154,31853.117799497097,31226.483405183517
20231109,31456.089900809868,31556.542742646394,31346.070121655575,31236.050342501283
20231110,31255.18421713681,31274.31809177234,31169.08178127693,31020.794252851578
20231113,31255.18421713681,31594.81049191745,31484.79071276316,31130.81403200587
20231114,31575.676617281923,31666.562521800686,31542.19233666975,31489.574181422042
20231115,32240.57876086656,32278.846510137617,32178.39366830109,31996.621859263563
20231116,32245.362229525443,32312.330790749795,32154.47632500668,32063.590420487915
20231117,32058.806951829032,32226.228354889914,32226.228354889914,31972.70451596915
20231120,32288.413447455383,32412.78363258632,32058.806951829032,32015.755733899092
20231121,32474.96872515179,32628.039722236026,32427.13403856297,32369.73241465638
20231122,32518.01994308173,32604.122378941614,32312.330790749795,32173.610199642208
20231123,32537.153817717262,32628.039722236026,32527.586880399496,32403.21669526856
20231124,32288.413447455383,32604.122378941614,32556.28769235279,32283.6299787965
20231127,32240.57876086656,32451.05138185738,32336.248134044206,32135.34245037115
20231128,32608.905847600494,32608.905847600494,32360.165477338618,32331.464665385323
20231129,32546.720755035025,32565.854629670554,32494.102599787322,32302.76385343203
20231130,32728.492564072552,32618.47278491826,32479.752193810673,32350.598540020852
20231201,32326.68119672644,32561.071161011674,32561.071161011674,32293.196916114266
20231204,32489.31913112844,32623.256253577143,32613.689316259377,32427.13403856297
20231205,32149.692856347796,32355.382008679735,32326.68119672644,32159.259793665562
20231206,32216.661417572148,32412.78363258632,32307.54732209091,32264.49610416097
20231207,32130.558981712267,33173.3551493486,32140.125919030033,32020.539202557975
20231208,32570.638098329437,32599.33891028273,32388.86628929191,32374.515883315264
20231211,32675.874408824846,32680.65787748373,32666.307471507083,32455.83485051626
20231212,32843.29581188573,32934.18171640449,32781.110719320255,32766.76031334361
20231213,32532.37034905838,32805.02806261467,32757.193376025847,32513.23647442285
20231214,32809.81153127355,33111.170056783136,32943.74865372226,32809.81153127355
20231215,33130.30393141866,33383.82777033943,33025.067620923255,33025.067620923255
20231218,33182.92208666637,33225.97330459631,33139.87086873643,33005.93374628772
20231219,33240.32371057296,33249.89064789072,33068.118838853195,33005.93374628772
20231220,33838.25729293324,33847.824230251004,33426.87898826937,33422.095519610484
20231221,33627.78467194242,33737.804451096716,33627.78467194242,33465.146737540425
20231222,33737.804451096716,34015.24563331188,33886.09197952206,33728.23751377895
20231226,33866.95810488654,33919.57626013424,33910.00932281648,33733.02098243783
20231227,34263.986003573766,34206.584379667176,33919.57626013424,33866.95810488654
20231228,34799.73449336858,34794.9510247097,34254.419066256,34197.01744234941
20240102,35038.90792631269,35158.49464278475,34622.74615298994,34570.12799774223
20240103,34110.91500648953,34684.9312455554,34627.52962164882,34110.91500648953
20240104,33790.422606344415,34029.59603928853,33862.17463622765,33680.402827190126
20240105,33704.320170484534,33862.17463622765,33742.5879197556,33613.43426596577
20240108,33575.16651669471,34020.029101970766,33929.143197452,33536.898767423656
20240109,33441.22939424601,34048.729913924064,34048.729913924064,33350.343489727245
20240110,33096.81965080649,33517.76489278813,33441.22939424601,33048.98496421766
20240111,33106.38658812425,33312.07574045619,33048.98496421766,33020.28415226437
20240112,32824.161937250195,33101.60311946537,33005.93374628772,32747.62643870808
20240115,32929.39824774561,33082.46924482984,32895.913967133434,32819.37846859131
20240116,32470.18525649291,33096.81965080649,32752.409907366964,32427.13403856297
20240117,31671.34599045957,32637.60665955379,32594.55544162385,31661.779053141803
20240118,31829.200456202685,31934.436766698094,31786.149238272745,31604.377429235217
20240119,32302.76385343203,32364.948945997498,32116.20857573562,32116.20857573562
20240122,32350.598540020852,32623.256253577143,32623.256253577143,32369.73241465638
20240123,32527.586880399496,32580.205035647203,32513.23647442285,32307.54732209091
20240124,32379.299351974147,32527.586880399496,32527.586880399496,32125.775513053384
20240125,32422.350569904087,32474.96872515179,32379.299351974147,32226.228354889914
20240126,32455.83485051626,32805.02806261467,32240.57876086656,32173.610199642208
20240129,32881.563561156785,33063.33537019431,32623.256253577143,32546.720755035025
20240130,32804.938886385666,33159.32800720209,33097.07045895056,32742.68133813413
20240131,32656.47857901662,32728.314211614546,32565.486777725917,32565.486777725917
20240201,33212.00747110724,33259.89789283919,32632.533368150645,32632.533368150645
20240202,34294.33100224931,34332.643339634866,33432.30341107421,33432.30341107421
20240205,33882.47337535454,34279.96387572972,34279.96387572972,33456.24862194018
20240206,33743.59115233189,34011.7775140308,33777.11444754425,33532.8732967113
20240207,34241.651538344166,34495.4707735235,34002.19942968441,33935.15283925968
20240208,34294.33100224931,34514.62694221628,34308.69812876889,34208.128243131796
20240213,34682.2434182781,34864.227020859515,34691.821502624494,34610.407785680174
20240214,34217.70632747819,34342.22142398126,34155.44877922665,34026.14464055039
20240215,34169.81590574624,34562.517363948224,34557.72832177503,34145.870694880265
20240216,34514.62694221628,34543.36119525545,34433.21322527196,34265.59674921014
20240219,35036.63253909453,35108.46817169245,34581.673532641005,34581.673532641005
20240220,34634.35299654615,34955.218822150215,34921.69552693785,34457.158436137935
20240221,34576.88449046781,34859.437978686314,34663.08724958532,34452.36939396474
20240222,34739.711924356445,34921.69552693785,34912.11744259146,34619.98587002657
20240223,34849.85989433993,35252.139436888305,35041.42158126773,34797.18043043478
20240226,34572.09544829462,34715.76671349047,34639.14203871935,34294.33100224931
20240227,34275.17483355653,34658.298207412125,34572.09544829462,34236.862496170965
20240228,34710.97767131727,34801.969472607976,34485.892689177104,34323.06525528848
20240229,34615.196827853375,34710.97767131727,34562.517363948224,34394.900887886404
20240304,35094.10104517287,35285.66273210067,34940.851695630634,34931.27361128424
20240305,34806.75851478117,35290.45177427387,34964.79690649661,34816.336599127564
20240306,34710.97767131727,34763.65713522242,34672.66533393171,34538.572153082256
20240307,34725.34479783686,34950.42977997702,34830.703725647145,34557.72832177503
20240308,35213.82709950275,35352.7093225254,35180.30380429038,35094.10104517287
20240311,34936.06265345743,35151.56955125121,34979.16403301619,34888.17223172549
20240312,35213.82709950275,35304.81890079345,35046.21062344092,34869.01606303271
20240313,35381.44357556457,35529.90388293361,35347.920280352206,35247.35039471511
20240314,35716.67652768822,35726.25461203461,35419.75591295013,35419.75591295013
20240315,35050.999665614116,35515.53675641403,35515.53675641403,35079.733918653284
20240318,35252.139436888305,35276.08464775428,35165.9366777708,34969.5859486698
20240319,34883.38318955229,35074.94487648009,35074.94487648009,34658.298207412125
20240320,35477.22441902847,35486.802503374856,35204.249015156354,35132.41338255843
20240321,36415.87668497469,36487.712317572616,35903.44917244282,35903.44917244282
20240322,36296.150630644814,36588.28220320971,36391.931474108715,36176.42457631494
20240325,36186.002660661325,36593.071245382904,36463.76710670664,36099.79990154382
20240326,36521.23561278498,36899.56994446738,36463.76710670664,36439.821895840665
20240327,36540.39178147776,36660.11783580763,36372.77530541593,36367.98626324274
20240328,36530.813697131365,36722.37538405917,36521.23561278498,36454.189022360246
20240329,36741.53155275195,36856.468564908624,36822.94526969626,36473.34519105303
20240401,36688.852088846805,37048.030251836426,37028.874083143644,36674.48496232722
20240402,36794.21101665709,36937.882281852944,36617.01645624888,36569.12603451693
20240403,36214.7369137005,36564.336992343735,36564.336992343735,36209.9478715273
20240404,36760.68772144472,36789.4219744839,36655.328793634435,36569.12603451693
20240405,36329.673925857176,36602.64932972929,36372.77530541593,36214.7369137005
20240408,36526.02465495817,36583.49316103651,36396.72051628191,36329.673925857176
20240409,36291.36158847162,36784.6329323107,36684.063046673604,36224.31499804689
20240411,36300.93967281801,36425.45476932108,35740.6217385542,35644.840895090296
20240412,35922.605341135604,36329.673925857176,36267.416377605645,35879.50396157685
20240415,35759.77790724697,35774.14503376656,35702.30940116863,35314.39698513984
20240416,34950.42977997702,35429.33399729652,35323.97506948623,34763.65713522242
20240417,34557.72832177503,35108.46817169245,35031.843496921334,34552.93927960184
